iid	series	is_control	sra_path	tf
GSM2723880	GSE86092	False	SRR5885243	ETS1
GSM2579153	GSE97838	False	SRR5449069	H3K4me1_ChIP
GSM2579154	GSE97838	False	SRR5449070	H3K4me1_ChIP
GSM2579155	GSE97838	False	SRR5449071	H3K4me1_ChIP
GSM2579156	GSE97838	False	SRR5449072	H3K4me1_ChIP
GSM2579157	GSE97838	False	SRR5449073	H3K4me1_ChIP
GSM2579158	GSE97838	False	SRR5449074	H3K4me1_ChIP
GSM2232660	GSE84352	False	SRR3894042	H3K36me3
GSM2232661	GSE84352	False	SRR3894043	H3K36me3
GSM2274676	GSE85524	False	SRR4022254,SRR4022255	anti-human
GSM2274677	GSE85524	False	SRR4022256,SRR4022257	anti-human
GSM2274678	GSE85524	True	SRR4022258,SRR4022259	anti-human
GSM2274680	GSE85524	True	SRR4022262,SRR4022263	anti-human
GSM2274682	GSE85524	True	SRR4022266,SRR4022267	anti-human
GSM2467007	GSE85524	False	SRR5197569,SRR5197570	anti-human
GSM2467009	GSE85524	False	SRR5197572,SRR5197571	anti-human
GSM2467011	GSE85524	False	SRR5197574,SRR5197573	anti-human
GSM2467013	GSE85524	False	SRR5197575,SRR5197576	anti-human
GSM2687534	GSE85524	False	SRR5763430,SRR5763431	anti-human
GSM2687535	GSE85524	False	SRR5763432,SRR5763433	anti-human
GSM2687536	GSE85524	True	SRR5763434,SRR5763435	anti-human
GSM2391826	GSE89869	False	SRR5022916	Lamin
GSM2391827	GSE89869	False	SRR5022917	Lamin
GSM2391828	GSE89869	False	SRR5022918	Lamin
GSM2391829	GSE89869	False	SRR5022919	Lamin
GSM2729728	GSE102164	False	SRR5889612	RNApolII
GSM2729729	GSE102164	False	SRR5889613	RNApolII
GSM2729730	GSE102164	False	SRR5889614	RNApolII
GSM2729731	GSE102164	False	SRR5889615	RNApolII
GSM2729732	GSE102164	False	SRR5889616	RNApolII
GSM2729733	GSE102164	False	SRR5889617	RNApolII
GSM2714248	GSE101737	False	SRR5857009	p53
GSM2714249	GSE101737	False	SRR5857010	p53
GSM2714250	GSE101737	False	SRR5857011	p53
GSM2714251	GSE101737	False	SRR5857012	p53
GSM2714252	GSE101737	False	SRR5857013	p53
GSM2714253	GSE101737	False	SRR5857014	p53
GSM2482828	GSE94782	False	SRR5244195	B8.4b
GSM2482829	GSE94782	False	SRR5244196	B8.4b
GSM2482830	GSE94782	False	SRR5244197,SRR5244198	B8.4b
GSM2482831	GSE94782	False	SRR5244199	B8.4b
GSM2482832	GSE94782	False	SRR5244200	B8.4b
GSM2482833	GSE94782	False	SRR5244201	B8.4b
GSM2350445	GSE88871	False	SRR4431308	BRD4
GSM2350446	GSE88871	False	SRR4431309	BRD4
GSM2350447	GSE88871	False	SRR4431310	BRD4
GSM2350448	GSE88871	False	SRR4431311	BRD4
GSM2350449	GSE88871	False	SRR4431312	BRD4
GSM2350450	GSE88871	False	SRR4431313	BRD4
GSM2350451	GSE88871	False	SRR4431314	BRD4
GSM2350452	GSE88871	False	SRR4431315	BRD4
GSM2350453	GSE88871	False	SRR4431316	BRD4
GSM2350454	GSE88871	False	SRR4431317	BRD4
GSM2584466	GSE97972	False	SRR5457799	Flag-M2
GSM2584467	GSE97972	True	SRR5457800	Flag-M2
GSM2463796	GSE93845	False	SRR5189294,SRR5189295	mTOR
GSM2463797	GSE93845	False	SRR5189296,SRR5189297	mTOR
GSM2463798	GSE93845	False	SRR5189298	mTOR
GSM2371442	GSE89431	False	SRR4828890	VDR
GSM2371443	GSE89431	False	SRR4828891	VDR
GSM2371444	GSE89431	False	SRR4828892	VDR
GSM2371445	GSE89431	False	SRR4828893	VDR
GSM2371446	GSE89431	False	SRR4828894	VDR
GSM2371447	GSE89431	False	SRR4828895	VDR
GSM2371448	GSE89431	False	SRR4828896	VDR
GSM2371449	GSE89431	False	SRR4828897	VDR
GSM2371450	GSE89431	False	SRR4828898	VDR
GSM2371451	GSE89431	False	SRR4828899	VDR
GSM2371452	GSE89431	False	SRR4828900	VDR
